Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F31,D11 x E3,DxE,DaviesMom,1,1,3,42.85714286,3,1,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F31,D11 x E3,DxE,DaviesMom,1,2,0,0,6,0,6
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F31,D11 x E3,DxE,DaviesMom,1,3,7,70,1,2,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F31,D11 x E3,DxE,DaviesMom,20,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F31,D11 x E3,DxE,DaviesMom,20,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F31,D11 x E3,DxE,DaviesMom,20,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F32,E5 x E3,ExE,EskMom,59,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F32,E5 x E3,ExE,EskMom,59,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F32,E5 x E3,ExE,EskMom,59,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F33,E4 x E3,ExE,EskMom,1,1,6,66.66666667,2,1,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F33,E4 x E3,ExE,EskMom,1,2,5,50,1,4,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F33,E4 x E3,ExE,EskMom,1,3,1,16.66666667,0,5,6
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F33,E4 x E3,ExE,EskMom,20,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F33,E4 x E3,ExE,EskMom,20,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F33,E4 x E3,ExE,EskMom,20,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F35,D10 x E4,DxE,DaviesMom,8,1,7,70,1,2,10
