Cross,Populationcross,Mom,Dad,Temperature,Roff.mean,Parentalphen.mean,h2.y,Parental.des,S.x,R.z
D11xE3,DxE,DaviesMom,EskDad,35.5C,80,25.85365854,0.844106464,90,64.14634146,54.14634146
E2xK8,ExK,EskMom,KeppelsDad,35.5C,84.44444444,30.00000000,0.907407407,90,60,54.44444444
D10xE5,DxE,DaviesMom,EskDad,35.5C,81.45833333,25.85365854,0.866840938,90,64.14634146,55.6046748
E1xK7,ExK,EskMom,KeppelsDad,35.5C,86.70250896,30.00000000,0.945041816,90,60,56.70250896
D10xE4,DxE,DaviesMom,EskDad,35.5C,84.44444444,25.85365854,0.91339248,90,64.14634146,58.59078591
E3xE4,ExE,EskMom,EskDad,35.5C,79.48028674,20.00000000,0.849718382,90,70,59.48028674
E3xK6,ExK,EskMom,KeppelsDad,35.5C,91.11111111,30.00000000,1.018518519,90,60,61.11111111
D11xE4,DxE,DaviesMom,EskDad,35.5C,87.77777778,25.85365854,0.965356992,90,64.14634146,61.92411924
D12xE3,DxE,DaviesMom,EskDad,35.5C,87.92114695,25.85365854,0.967592025,90,64.14634146,62.06748841
E3xE5,ExE,EskMom,EskDad,35.5C,83.5483871,20.00000000,0.907834101,90,70,63.5483871
E3xD16,ExD,EskMom,DaviesDad,35.5C,90.13888889,25.85365854,1.002165188,90,64.14634146,64.28523035
E3xD11,ExD,EskMom,DaviesDad,35.5C,91.11111111,25.85365854,1.017321504,90,64.14634146,65.25745257
